    208     214       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
     14      18     360     700     733     722     791     753
    747     695     756     738     723     632     750     679
    690     740     664     699     675     682     711     735
    698     659     711     682     663     669     697     663
    681     672     695     675     625     658     632     674
    616     663     675     637     641     646     617     629
    645     565     604     619     640     609     598     649
    633     620     630     603     648     626     632     602
    619     603     601     632     658     574     605     545
    556     575     626     619     586     561     580     591
    567     598     584     575     546     587     592     554
    618     542     568     592     563     590     557     544
    538     551     518     566     545     572     564     552
    556     582     512     525     548     562     524     562
    563     525     481     479     500     530     523     548
    504     546     498     501     473     502     491     506
    531     491     500     500     509     515     487     489
    448     519     524     493     490     493     489     493
    507     487     466     518     463     492     471     505
    509     470     497     462     483     460     484     435
    500     478     481     473     451     433     483     458
    439     476     453     483     444     432     453     435
    472     447     486     474     461     440     456     427
    426     421     439     440     448     447     453     444
    467     455     463     412     473     386     419     421
    450     415     413     421     409     410     394     431
    429     425     390     388     367     417     360     415
    383     383     415     411     404     408     387     421
    400     412     423     400     399     414     393     378
    424     386     421     391     373     402     359     394
    419     402     395     362     369     359     375     368
    368     389     411     384     371     381     368     353
    367     376     386     358     390     345     345     337
    315     391     409     355     324     330     381     353
    320     331     346     355     353     355     354     361
    350     312     321     364     357     328     352     339
    318     332     317     337     300     359     327     315
    339     312     306     341     345     298     312     354
    342     318     320     296     317     320     319     319
    331     310     298     344     292     325     327     299
    312     313     314     275     292     286     299     302
    281     306     292     291     265     301     298     273
    324     304     288     283     300     295     316     296
    298     282     298     291     267     297     276     284
    317     269     298     277     269     263     277     315
    283     283     268     262     261     286     258     264
    299     275     261     244     257     269     253     267
    279     270     247     271     284     263     249     286
    271     270     261     258     263     249     262     281
    264     252     285     268     277     273     271     251
    255     261     276     249     286     247     249     238
    233     237     229     250     268     234     248     227
    218     252     244     241     257     205     236     223
    271     228     240     219     242     252     222     226
    201     211     248     212     233     224     201     239
    201     202     198     212     227     204     237     205
    229     218     207     223     259     213     232     264
    269     288     308     305     348     377     399     381
    358     386     396     340     383     342     338     329
    317     353     346     334     376     412     440     445
    533     477     448     400     354     370     303     357
    277     295     275     283     289     267     252     227
    224     246     224     212     224     230     193     203
    230     232     236     246     269     241     283     293
    319     288     305     307     289     281     254     276
    264     257     287     264     265     299     288     342
    334     317     313     302     279     253     285     244
    191     209     189     194     192     203     174     169
    187     163     182     175     158     159     173     163
    146     158     149     162     154     133     125     156
    124     134     161     151     147     157     153     146
    116     151     145     128     164     132     129     146
    120     143     144     157     141     147     154     150
    119     119     137     124     138     106      97     122
    109     108     108     129     101     135     122     101
     97     103     113     109     105     100      97     133
    112     106     109      89     127      97     109     118
    111     103     112     124     138     126     135     143
    128     132     132     137     153     141     159     128
    151     149     144     145     123     162     127     142
    152     155     156     183     168     192     201     181
    188     211     185     205     208     232     266     255
    316     327     362     380     481     518     611     806
   1006    1312    1623    2164    2716    3410    4198    5175
   5985    7045    7913    8551    9573   10229   10641   10781
  11383   11261   11252   10906   10444    9639    8727    7887
   7036    5952    5124    4525    4021    3494    3130    2822
   2406    2032    1836    1605    1403    1260    1156     896
    822     662     587     516     437     374     315     299
    238     213     160     129     119     112     108      85
     76      65      72      51      58      51      34      34
     29      24      23      17      21      18      15      20
     18      14      19      15      19      19       7      16
     18      17       7       7      14      11      11      15
     10      15      11       8       9      13      15       8
      7       9       7       8       6       7      11       5
      8      10      11       9       7       5       8       9
      4       9       9       8      11       6       9       4
      4       9      10       7       7       8      10      10
     11       9       4      14       8       6       8       4
      7       4       7       2       7      10       5       4
      7       3       4       5       8       6      13       8
      5       6       7       4       7       4       2       8
      5       2       7       3       8       8       6       4
      7       3       5       9       2       7       2       9
      7       7      10       1       8       6       5       9
      7       6       6       3       5       4       4       5
      3       7       6       6       5       3      11       3
      5       4       4       9       8       8       1       5
      4       5       9       6       4       5       4       6
      8       6       4       7       6       6       4       4
      2       6       0      11       7       4       5       6
      7       4       2       7       4       6       4       5
      6       0       4       6       5       7       7       5
      8       4       3       2       6       6       3       5
      7       4       6      10       7       3       6      10
      5       6       6      10      10       4       5       2
      8       6       6       6       4       2       6       3
      9       6       9       9       7       3       4       5
$Angles (tilt,azimute): 0 0
$Date & Time          :23-11-2022         15:26:16
$ERDrun26.dat
$B(15:22:38) = 2.436120 kG
$B(15:22:34) = 2.436120 kG
