    735     757       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       8      51    1029    3992    4029    3943
   3830    3746    3880    3751    3671    3658    3698    3602
   3649    3617    3591    3485    3533    3521    3567    3551
   3406    3483    3401    3274    3361    3418    3297    3337
   3418    3358    3256    3311    3254    3193    3248    3298
   3226    3235    3124    3158    3198    3074    3191    3104
   3141    3076    3074    3062    3128    3027    3147    3124
   3138    3017    3202    3030    2985    3014    2969    3036
   2988    2919    3114    2915    2964    2881    2946    2926
   2936    2896    3010    2899    2833    2805    2822    2767
   2816    2852    2770    2880    2691    2721    2797    2784
   2755    2791    2560    2702    2711    2663    2546    2611
   2499    2570    2593    2529    2483    2431    2412    2358
   2472    2439    2385    2351    2423    2281    2394    2358
   2293    2401    2245    2249    2246    2311    2240    2271
   2182    2188    2161    2180    2156    2223    2110    2099
   2188    2170    2140    2098    2041    1978    2061    2018
   1950    1960    1983    2076    1962    1990    1845    1905
   1936    1793    1878    1908    1905    1913    1848    1844
   1839    1913    1845    1786    1783    1700    1835    1766
   1802    1717    1708    1719    1731    1708    1717    1605
   1671    1675    1655    1699    1662    1619    1611    1601
   1656    1582    1600    1598    1541    1625    1543    1538
   1527    1496    1478    1498    1523    1539    1480    1384
   1484    1496    1465    1377    1413    1451    1413    1448
   1395    1292    1415    1338    1375    1452    1410    1373
   1409    1342    1348    1350    1324    1315    1315    1285
   1286    1315    1248    1242    1242    1200    1248    1272
   1213    1272    1172    1272    1210    1259    1242    1241
   1230    1204    1161    1166    1188    1164    1187    1193
   1133    1163    1176    1226    1216    1123    1114    1144
   1075    1086    1064    1180    1127    1158    1114    1057
   1058    1131    1091    1038    1084    1080    1033    1074
   1042    1063     969    1057    1040    1097    1101    1096
   1060     942    1031     964    1006     954     987     922
   1001    1062     982     927     989     936     890     958
   1023     981     893     952     938     977     962     958
    970     935     912     904     916     932     938     942
    922     951     884     915     913     838     894     868
    871     862     864     844     884     905     866     822
    867     831     908     858     842     814     848     870
    789     851     859     805     807     886     848     844
    822     836     810     795     788     803     784     770
    798     804     820     832     804     796     803     716
    805     813     780     779     803     789     747     791
    813     781     705     789     763     724     837     762
    801     738     727     790     824     791     770     745
    785     728     776     745     761     728     765     716
    750     747     764     777     768     745     733     709
    723     749     766     682     687     707     702     730
    661     703     664     683     699     660     634     638
    641     580     624     635     612     681     626     614
    608     626     632     644     653     639     648     675
    643     661     682     650     676     683     681     764
    777     731     791     811     781     879     844     822
    882     865     961     979     914     998    1013    1019
   1086    1095    1061    1125    1184    1183    1232    1245
   1299    1281    1358    1324    1470    1422    1431    1469
   1519    1589    1531    1656    1603    1712    1740    1796
   1849    1820    1856    2017    1949    2003    2031    2086
   2149    2237    2184    2276    2251    2296    2439    2476
   2565    2533    2532    2749    2664    2698    2706    2759
   2915    2911    3080    3052    3078    3221    3140    3289
   3350    3323    3577    3508    3532    3874    3737    3801
   3966    4044    4194    4337    4235    4280    4480    4608
   4701    4760    4837    4997    4963    5195    5337    5278
   5698    5598    5535    5765    5882    6006    6090    6187
   6184    6221    6484    6593    6458    6577    6644    6743
   6809    6822    6895    6921    6885    6891    6836    7161
   6976    6953    7050    7094    6952    6932    6928    6881
   7028    7023    6864    7040    6950    6839    6848    6934
   6878    6847    6852    6962    7015    7027    6948    6861
   6784    6906    7009    6725    6921    6823    6849    6792
   6706    6884    6839    6721    6670    6617    6643    6557
   6769    6716    6666    6566    6545    6642    6645    6563
   6597    6632    6390    6697    6519    6679    6472    6576
   6487    6543    6537    6634    6454    6443    6397    6128
   6560    6317    6392    6464    6194    6391    6289    6280
   6202    6298    6185    6223    6141    6212    6169    6165
   6070    6067    6115    5982    6027    5935    5876    6022
   5773    5878    5831    5638    5635    5555    5529    5598
   5386    5348    5202    4914    4794    4597    4228    4001
   3551    3064    2770    2247    1829    1481    1144     847
    659     481     374     292     220     182     115     109
     91      70      55      55      44      44      38      32
     44      38      39      22      32      35      33      34
     36      36      22      25      31      32      21      28
     28      20      29      33      25      24      25      19
     26      24      28      31      30      23      24      20
     16      27      25      40      28      27      22      27
     29      23      26      21      29      17      26      24
     18      24      16      22      24      19      21      15
     22      13      23      15      21      17      25      16
     17      24      21      21      15      27      18      28
     21      20      14      24      21      22      26      20
     16      19      22      12      11      17      13      17
     14      17      16      20      22      15      24      21
     16      15      12      14       8      13      21      17
     11      20      27      16      14      17      17      20
     17      17      19      17      13      21      17      15
     14      15      19      16      14      14      11      26
     16      14      15      16      18      14      12      15
     13      16      14      12      18      17      12      14
     12      17      17      10      16      15      10      14
     11      12      17      13      13      10      16       8
     13      15      14      15      22      19      15      17
     14      14       5      19      11      11      15       5
      9      19       9      13      18      12      13      15
      9       7      10      14      16      12      17       3
     12      11      20      12      10       9       7      11
     14       5      17      10      18      11      15      10
     16      11      19       7      14      18      14      12
      7      16      10      15       9       9       8      19
     11      12       4      11      11      10      12      16
     16       7      11      12      17      12       6      10
     12      16      10      11      15       7       8       9
     10      11      13      11      13      11      11      11
     11       5      10       9       5      10       4       7
$Angles (tilt,azimute): 0 0
$Date & Time          :02-09-2022         12:49:20
$ERDrun4.dat
$B(12:36:25) = 4.785800 kG
$B(12:49:02) = 4.785230 kG
