    238     247       0       0       0       0       0       0
      0       0       0       0       0       0       0       5
     77    1452    6970    9050   14628   14846   13808   13018
  12361   11693   10985   10293    9783    9220    8595    7916
   7272    6582    6011    5464    5101    4677    4242    3694
   3343    3011    2616    2385    2118    2006    1668    1585
   1463    1309    1196    1171    1037    1008    1010     917
    882     881     844     814     759     812     760     713
    749     702     732     690     730     652     673     620
    644     637     623     614     630     619     556     629
    597     564     561     559     590     578     520     569
    561     568     549     536     488     514     511     512
    478     486     508     486     503     473     448     455
    472     473     465     460     476     427     472     422
    420     456     418     438     436     435     449     413
    431     391     408     412     414     422     377     385
    401     409     411     393     387     407     370     395
    347     420     365     356     376     367     365     370
    347     331     337     383     340     339     355     345
    376     333     321     358     348     366     358     337
    324     318     335     326     323     294     303     302
    305     314     331     330     318     295     296     278
    308     290     325     302     295     281     299     295
    302     274     297     305     274     250     274     289
    279     315     264     291     275     271     267     295
    270     267     258     276     251     255     269     221
    264     272     269     267     245     230     246     244
    255     230     230     225     239     238     218     246
    242     257     223     223     210     251     215     209
    262     242     232     236     249     244     242     260
    231     227     224     248     219     236     252     225
    202     206     216     224     217     229     214     211
    257     203     224     199     206     190     192     208
    192     193     215     212     194     213     177     223
    212     201     226     201     199     209     193     198
    216     209     210     188     213     212     202     182
    230     208     201     209     197     193     189     205
    194     204     172     211     186     184     168     184
    195     179     163     176     184     172     194     190
    189     189     166     149     196     194     180     160
    175     211     181     172     188     194     169     172
    178     178     165     183     181     175     168     183
    166     177     193     168     177     166     167     185
    135     172     156     175     173     171     148     179
    145     158     199     181     171     185     141     177
    179     172     170     166     150     162     158     165
    148     153     153     179     154     158     135     166
    152     143     157     152     138     142     123     128
    126     131     127     121     138     123     142     111
    108     119     107     122     117     132     108     125
    116     124     134     107     119     117     110     119
    119     116     111     105     126     120     100     132
    122     123     116     138     124     126     125     115
    116     119     114     120     110     124     101     114
    101     100     129     114     118      95     107     107
    117     114     116     111     130     109     118     125
    108     115     116     115     118     108     118     118
    127     110     117     141     120     128     115     129
    133     132     115     125     109     150     115     125
    115     123     114     128     120     128     128     121
    104     129     133     114     149     143     122     110
    124     135     161     150     126     124     132     127
    134     146     133     127     135     146     167     149
    143     158     176     153     197     182     192     175
    163     184     164     169     184     186     168     187
    211     191     196     226     221     228     212     257
    240     265     226     276     270     325     316     294
    322     332     323     364     348     395     423     415
    429     439     470     527     543     560     588     627
    696     733     755     799     861     906     922     980
   1058    1163    1176    1275    1379    1442    1462    1504
   1641    1698    1776    1896    1881    2038    2065    2187
   2283    2347    2377    2543    2513    2620    2674    2672
   2740    2759    2869    2833    2983    2893    2955    3018
   3022    3018    3062    3049    3062    3161    3139    3105
   3113    3080    3144    3146    3153    3207    3176    3131
   3199    3126    3162    3304    3197    3183    3249    3140
   3145    3066    3117    3118    3201    3162    3191    3133
   3143    3182    3209    3203    3096    3160    3215    3060
   3079    3055    3196    3164    3110    3019    3132    3097
   3031    3045    3179    3116    3134    3169    3149    3092
   3147    3114    3173    3219    3130    3036    3160    3145
   3149    3143    3202    3202    3191    3177    3075    3179
   3170    3152    3163    3151    3177    3055    3162    3082
   3152    2967    3036    3135    3128    3139    3144    3068
   3098    3068    3034    3065    3148    3122    3033    3098
   3112    3042    3024    2949    3053    3011    2985    3023
   3057    3018    3097    3049    3055    2971    3023    3107
   2954    3124    3063    2943    2955    2938    2939    2962
   2973    2988    3056    2956    2932    2930    2952    2935
   2870    2817    2717    2689    2376    2117    1895    1679
   1392    1190    1057     910     743     717     587     499
    430     376     334     236     215     185     140     113
    101      83      66      41      43      31      33      20
     22      15      17      12      16       4       6      10
      5       7       8      12       7       9       4       5
      4       3       7       9       6       7       4       8
      3       7      10       5       4       8      11       4
      4       5       5       3       6       4       7       5
      6       2       3       3       7      10       4       7
      5       7       4       3       3       6       4       5
      5       4       1       8       7       8       5       8
      4       5       4       5       8       2       6       6
      6       5       5       2       8       6       5       6
      3       4       4       4       1       6       2       3
      4       7       2       6       6       3       2       5
      8       4       2       4       8       6       2       4
      5       5       2       7       4       6       5       7
      7       6       5       9       2       2      12       5
      2       6       4       7       4       8       4       5
      5       6       1       8       7       5       6       8
      6       9       7       8       6       9       3       5
      3       5       7       6       7       5       4       6
      4       6       3       6       3       6       8       4
      3       6       9       7       4       7       7       8
     10       4       3       6       3       6       7      10
     12       4       5       8      12       9       4      12
      2       8       7       2       6       4       4       2
      1       5       6       5       3       2       8       3
      4       5       4       1       3       8       8       6
      6       5       3       4       3       4       1       2
      3       8       2       6       3       4       6       4
      1       6       4       2       3       4       4       6
      3       6       3       6       6      10       6       7
      7       6       6       3       4       8       4       1
      8       6       7       6       7       4       6       2
      4      10       7       3       2       6       8       6
      3       6       5       6       3       8       5       4
$Angles (tilt,azimute): 0 0
$Date & Time          :07-09-2022         12:56:54
$RBS2run05.dat
$B(12:52:36) = 4.782710 kG
$B(12:56:44) = 4.782330 kG
